GROUP;DESCRIPTION;P/N;ALT P/N;S/N;MIN QTY;UNIT;CONDITION;WAREHOUSE;STORES;QTY;EXPIRED DATE;GRN NO;VENDOR;RECEIVED DATE;RECEIVED BY;ORDER NUMBER;REFERENCE NUMBER;AWB NUMBER;REMARK;UNIT VALUE
Consumable Part;MAIN TYRE;606C66-8;;51792169;;EA;S/S;WISNU;CONTAINER;1;;1546/GRN/SPR/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1121;INV/9304640178;PT.LINTAS DEWATA CARGO;;
Consumable Part;MAIN TYRE;606C66-8;;51792159;;EA;S/S;WISNU;CONTAINER;1;;1546/GRN/SPR/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1121;INV/9304640178;PT.LINTAS DEWATA CARGO;;
Consumable Part;MAIN TYRE;606C66-8;;51792119;;EA;S/S;WISNU;CONTAINER;1;;1546/GRN/SPR/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1121;INV/9304640178;PT.LINTAS DEWATA CARGO;;
Consumable Part;MAIN TYRE;606C66-8;;51792114;;EA;S/S;WISNU;CONTAINER;1;;1546/GRN/SPR/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1121;INV/9304640178;PT.LINTAS DEWATA CARGO;;
Consumable Part;MAIN TYRE;606C66-8;;51782118;;EA;S/S;WISNU;CONTAINER;1;;1546/GRN/SPR/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1121;INV/9304640178;PT.LINTAS DEWATA CARGO;;
Consumable Part;MAIN TYRE;606C66-8;;51782117;;EA;S/S;WISNU;CONTAINER;1;;1546/GRN/SPR/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1121;INV/9304640178;PT.LINTAS DEWATA CARGO;;
Consumable Part;MAIN TYRE;606C66-8;;50862451;;EA;S/S;WISNU;CONTAINER;1;;1546/GRN/SPR/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1121;INV/9304640178;PT.LINTAS DEWATA CARGO;;
Consumable Part;MAIN TYRE;606C66-8;;50862438;;EA;S/S;WISNU;CONTAINER;1;;1546/GRN/SPR/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1121;INV/9304640178;PT.LINTAS DEWATA CARGO;;
Consumable Part;MAIN TYRE;606C66-8;;50862437;;EA;S/S;WISNU;CONTAINER;1;;1546/GRN/SPR/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1121;INV/9304640178;PT.LINTAS DEWATA CARGO;;
Consumable Part;MAIN TYRE;606C66-8;;50862434;;EA;S/S;WISNU;CONTAINER;1;;1546/GRN/SPR/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1121;INV/9304640178;PT.LINTAS DEWATA CARGO;;
Consumable Part;MAIN TYRE;606C66-8;;50862431;;EA;S/S;WISNU;CONTAINER;1;;1546/GRN/SPR/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1121;INV/9304640178;PT.LINTAS DEWATA CARGO;;
