GROUP;DESCRIPTION;P/N;ALT P/N;S/N;MIN QTY;UNIT;CONDITION;WAREHOUSE;STORES;QTY;EXPIRED DATE;GRN NO;VENDOR;RECEIVED DATE;RECEIVED BY;ORDER NUMBER;REFERENCE NUMBER;AWB NUMBER;REMARK;UNIT VALUE
Consumable Part;BRAKE DISC;30-65;;N/A;;;;WISNU;G2;2;;;;;;;;;;
Consumable Part;BRAKE DISC;30-83A;;N/A;;;;WISNU;G2;1;;;;;;;;;;
Consumable Part;BRAKE DISC;30-83A;;N/A;;;;WISNU;G2;1;;;;;;;;;;
Consumable Part;BRAKE DISC [R];164-02300;;N/A;;;;WISNU;G2;1;;;;;;;;;;
Consumable Part;BRAKE DISC [R];164-02300;;N/A;;;;WISNU;G2;1;;;;;;;;;;
Consumable Part;BRAKE LINNING;066-06200;;N/A;;;;WISNU;A3-14;18;;;;;;;;;;
Consumable Part;BRAKE LINNING;066-06200;;N/A;;;;WISNU;G2;45;;;;;;;;;;
Consumable Part;BRAKE LINNING;066-10500;;N/A;;;;WISNU;A3-14;93;;;;;;;;;;
Consumable Part;BRAKE LINNING;066-10500;;N/A;;;;WISNU;A3-14;140;;;;;;;;;;
Consumable Part;BRAKE LINNING;066-30026;;N/A;;;;WISNU;A3-14;19;;;;;;;;;;
Consumable Part;BRAKE LINNING;073-30026;;N/A;;;;WISNU;A3-14;20;;;;;;;;;;
Consumable Part;BREAKER;CM3589-40;;N/A;;;;WISNU;D2-10;3;;;;;;;;;;
Consumable Part;BREARING SEAL;154-13000;;N/A;;;;WISNU;B3-12;3;;;;;;;;;;
Consumable Part;BULB;356;;N/A;;;;WISNU;B3-6;1;;;;;;;;;;
Consumable Part;BULB;356;;N/A;;;;WISNU;B3-7;6;;;;;;;;;;
Consumable Part;BULB/PROBE OIL TEMP;3080-00037;;N/A;;;;WISNU;A3-20;3;;;;;;;;;;
Consumable Part;BULK HEAD ASSY;0550321-12;;N/A;;;;WISNU;A4-2;2;;;;;;;;;;
Consumable Part;BULK HEAD ASSY;0550321-4;;N/A;;;;WISNU;A4-2;1;;;;;;;;;;
Consumable Part;BUSHING;523919;;N/A;;;;WISNU;B3-14;18;;;;;;;;;;
Consumable Part;BUSHING;757-633;;N/A;;;;WISNU;G3;1;;;;;;;;;;
Consumable Part;BUSHING;NAS77-3-023;;N/A;;;;WISNU;A3-18;8;;;;;;;;;;
Consumable Part;BUSHING;NAS77-6-008;;N/A;;;;WISNU;A3-18;10;;;;;;;;;;
Consumable Part;BUSHING ASSY MAIN GEAR;0541202-4;;N/A;;;;WISNU;D2-15;8;;;;;;;;;;
Consumable Part;C-SPEC CONVERSION KIT CESSNA;MSC172PQ-40P;;N/A;;;;WISNU;D3-10;1;;;;;;;;;;
