GROUP,DESCRIPTION,P/N,ALT P/N,S/N,MIN QTY,UNIT,CONDITION,WAREHOUSE,STORES,QTY,EXPIRED DATE,GRN NO,VENDOR,RECEIVED DATE,RECEIVED BY,ORDER NUMBER,REFERENCE NUMBER,AWB NUMBER,REMARK,UNIT VALUE
Consumable Part,CLUSTER FUEL,C669562-0109,N/A,,,,,,,,,,,,,,,,,
Consumable Part,COAXIAL CABLE,C732913,N/A,,,,,,,,,,,,,,,,,
Consumable Part,COIL HEAD JET,22607G-01,N/A,,,,,,,,,,,,,,,,,
Consumable Part,COLLING MONT,J-7444-14,N/A,,,,,,,,,,,,,,,,,
Consumable Part,COLOR KUT FUEL,KOLOR KUT,N/A,,,,,,,,,,,,,,,,,
Consumable Part,COMPENSATOR,C21-400,N/A,,,,,,,,,,,,,,,,,
Consumable Part,COMPUTER STUDENT FLT,10001316,N/A,,,,,,,,,,,,,,,,,
Consumable Part,CONNECTOR,MS3106A10SL39,N/A,,,,,,,,,,,,,,,,,
Consumable Part,CONNECTOR,S2800-277,N/A,,,,,,,,,,,,,,,,,
Consumable Part,CONSOLE CENTER,28-0500233RT-80A,N/A,,,,,,,,,,,,,,,,,
Consumable Part,CONTACK CLEANER,2016,N/A,,,,,,,,,,,,,,,,,
Consumable Part,CONTACT CLEANER,2016M,N/A,,,,,,,,,,,,,,,,,
Consumable Part,CONTACT PIN,204370-2,N/A,,,,,,,,,,,,,,,,,
Consumable Part,CONTACTOR,S2443-2,N/A,,,,,,,,,,,,,,,,,
Consumable Part,CONTACTOR,S2099-8LP,N/A,,,,,,,,,,,,,,,,,
Consumable Part,CONTACTOR,S2099-6,N/A,,,,,,,,,,,,,,,,,
Consumable Part,CONTACTOR STATER,584-460,N/A,,,,,,,,,,,,,,,,,
Consumable Part,CONTORL,S1239-48,N/A,,,,,,,,,,,,,,,,,
Consumable Part,CONTROL,S1241-36,N/A,,,,,,,,,,,,,,,,,
