GROUP,DESCRIPTION,Part Number,ALT P/N,Serial Number,MIN QTY,Unit,CONDITION,WAREHOUSE,STORES,QTY,EXPIRED DATE,GRN NO,VENDOR,RECEIVED DATE,RECEIVED BY,ORDER NUMBER,REFERENCE NUMBER,AWB NUMBER,REMARK,UNIT VALUE
CONSUMABLE PART,SNAP RING,155-00100,,,0,EA,,WISNU,B3-12,9,,,,,,,,,,0
CONSUMABLE PART,SNAP RING,155-00200,,,0,EA,,WISNU,B3-12,10,,,,,,,,,,0
CONSUMABLE PART,SNAP RING,155-04800,,,0,EA,,WISNU,D2-1,2,,,,,,,,,,0
CONSUMABLE PART,SNAP RING,155-11800,,,0,EA,,WISNU,B3-12,10,,,,,,,,,,0
CONSUMABLE PART,SNAP RING,155-11900,,,0,EA,,WISNU,B3-12,10,,,,,,,,,,0
CONSUMABLE PART,SNAP RING,484-723,,,0,EA,,WISNU,G1,10,,,,,,,,,,0
CONSUMABLE PART,SOCKET,S1636-1,,,0,EA,,WISNU,D3-5,492,,,,,,,,,,0
CONSUMABLE PART,SOCKET,S1636-3,,,0,EA,,WISNU,D3-5,500,,,,,,,,,,0
CONSUMABLE PART,SPACER,0543037-1,,,0,EA,,WISNU,D3-12,6,,,,,,,,,,0
CONSUMABLE PART,SPACER,0711021-12,,,0,EA,,WISNU,B3-14,2,,,,,,,,,,0
CONSUMABLE PART,SPACER,122011-4-1,,,0,EA,,WISNU,B3-14,100,,,,,,,,,,0
CONSUMABLE PART,SPACER,1220114-1,,,0,EA,,WISNU,B3-14,260,,,,,,,,,,0
CONSUMABLE PART,SPACER,1220114-1,,,0,EA,,WISNU,B3-17,2,,,,,,,,,,0
CONSUMABLE PART,SPACER,1220114-2,,,0,EA,,WISNU,B3-14,28,,,,,,,,,,0
CONSUMABLE PART,SPACER,523307,,,0,EA,,WISNU,A2-9,16,,,,,,,,,,0
CONSUMABLE PART,SPACER,523307,,,0,EA,,WISNU,D3-13,12,,,,,,,,,,0
CONSUMABLE PART,SPACER,523307,,,0,EA,,WISNU,G1,8,,,,,,,,,,0
CONSUMABLE PART,SPACER,NAS43HT3-216,,,0,EA,,WISNU,G3,10,,,,,,,,,,0
CONSUMABLE PART,SPACER,NAS43HT3-34,,,0,EA,,WISNU,A3-19,100,,,,,,,,,,0
CONSUMABLE PART,SPAR,0523206-2,,,0,EA,,WISNU,FLAMABLE ROOM,1,,,,,,,,,,0
CONSUMABLE PART,SPAR,0523206-3,,,0,EA,,WISNU,FLAMABLE ROOM,1,,,,,,,,,,0
CONSUMABLE PART,SPARK PLUG,REM40E,,,0,EA,,WISNU,B2-2,17,,,,,,,,,,0
CONSUMABLE PART,SPARK PLUG,REM40E,,,0,EA,,WISNU,B2-3,39,,,,,,,,,,0
CONSUMABLE PART,SPARK PLUG,REM40E,,,0,EA,,WISNU,B2-3,60,,,,,,,,,,0
CONSUMABLE PART,SPARK PLUG,REM40E,,,0,EA,,WISNU,B2-3,22,,,,,,,,,,0
CONSUMABLE PART,SPARK PLUG,RHB32E,,,0,EA,,WISNU,G3,0,,,,,,,,,,0
CONSUMABLE PART,SPINNER,0550367-3,,,0,EA,,WISNU,D1,2,,,,,,,,,,0
CONSUMABLE PART,SPOT FACE KIT,SPOT FACE KIT,,,0,EA,,WISNU,D3-9,1,,,,,,,,,,0
CONSUMABLE PART,SPRING,0710015-13,,,0,EA,,WISNU,B3-15,9,,,,,,,,,,0
CONSUMABLE PART,SPRING,0711021-9,,,0,EA,,WISNU,B3-15,2,,,,,,,,,,0
CONSUMABLE PART,SPRING,082-00900,,,0,EA,,WISNU,G2,2,,,,,,,,,,0
CONSUMABLE PART,SPRING,082-02100,,,0,EA,,WISNU,A3-13,4,,,,,,,,,,0
CONSUMABLE PART,SPRING,1552010-1,,,0,EA,,WISNU,D2-1,10,,,,,,,,,,0
CONSUMABLE PART,SPRING,713063,,,0,EA,,WISNU,D2-2,8,,,,,,,,,,0
CONSUMABLE PART,SPRING (LH),0310196-5,,,0,EA,,WISNU,D2-2,7,,,,,,,,,,0
CONSUMABLE PART,SPRING (RH),0310196-12,,,0,EA,,WISNU,D2-2,5,,,,,,,,,,0
CONSUMABLE PART,SPRING PARKING BRAKE,0513154-1,,,0,EA,,WISNU,D2-1,5,,,,,,,,,,0
CONSUMABLE PART,SPRING PARKING BRAKE,0513154-1,,,0,EA,,WISNU,D2-1,15,,,,,,,,,,0
CONSUMABLE PART,SPRING PIN,B-3842-0750,,,0,EA,,WISNU,G3,100,,,,,,,,,,0
CONSUMABLE PART,STATIC DISCHARGE (WICK),C592001-0201,,,0,EA,,WISNU,A2-8,4,,,,,,,,,,0
CONSUMABLE PART,STOP SEAT,0713074-1,,,0,EA,,WISNU,D3-11,29,,,,,,,,,,0
CONSUMABLE PART,STRIKER OIL DOOR TOP,1552004-25,,,0,EA,,WISNU,A3-20,5,,,,,,,,,,0
CONSUMABLE PART,STRIP FELT,G881879,,,0,EA,,WISNU,B4-2,50,,,,,,,,,,0
CONSUMABLE PART,STRIP FELT,G881879,,,0,EA,,WISNU,B4-2,60,,,,,,,,,,0
CONSUMABLE PART,STROBE LIGHT,01-0770044-00,,,0,EA,,WISNU,B2-2,4,,,,,,,,,,0
CONSUMABLE PART,STROBE LIGHT,01-0770044-00,,,0,EA,,WISNU,B2-2,4,,,,,,,,,,0
CONSUMABLE PART,STROBE LIGHT,01-0770044-00,,,0,EA,,WISNU,D2-9,2,,,,,,,,,,0
CONSUMABLE PART,STROBE LIGHT,01-0770509-07,,,0,EA,,WISNU,B2-2,5,,,,,,,,,,0
CONSUMABLE PART,STROBE LIGHT,01-0770509-07,,,0,EA,,WISNU,B2-2,3,,,,,,,,,,0
CONSUMABLE PART,STROBE LIGHT,02-0250276-00,,,0,EA,,WISNU,B2-2,1,,,,,,,,,,0
CONSUMABLE PART,STROBE LIGHT,02-0250276-00,,,0,EA,,WISNU,B2-2,2,,,,,,,,,,0
CONSUMABLE PART,STROBE LIGHT,073-0270,,,0,EA,,WISNU,B3-5,5,,,,,,,,,,0
CONSUMABLE PART,STUD,0550198-1,,,0,EA,,WISNU,A3-8,0,,,,,,,,,,0
CONSUMABLE PART,STUD,0742410-27,,,0,EA,,WISNU,D3-10,1,,,,,,,,,,0
CONSUMABLE PART,STUD,0742410-27,,,0,EA,,WISNU,D3-10,0,,,,,,,,,,0
CONSUMABLE PART,STUD,98293-3,,,0,EA,,WISNU,A3-8,101,,,,,,,,,,0
CONSUMABLE PART,STUD,S1115-32,,,0,EA,,WISNU,A3-8,152,,,,,,,,,,0
CONSUMABLE PART,SUMP,S1258-1,,,0,EA,,WISNU,A3-2,12,,,,,,,,,,0
CONSUMABLE PART,SUPER HOOD,13-30200,,,0,EA,,WISNU,B1-3,5,,,,,,,,,,0
CONSUMABLE PART,SUPPORT,0552181-1,,,0,EA,,WISNU,D2-10,2,,,,,,,,,,0
CONSUMABLE PART,SUPPORT COLLAR,2460038-1,,,0,EA,,WISNU,A2-6,9,,,,,,,,,,0
